Year,Aaa,Aa,A,Baa,Ba,B,Caa-C
2010,0.0,0.0,0.0017,0.0007,0.0,0.0039,0.0863
2011,0.0,0.0019,0.0,0.0036,0.0016,0.0034,0.0622
2012,0.0,0.0,0.0,0.0007,0.0014,0.0054,0.0801
2013,0.0,0.0,0.0009,0.0012,0.006,0.0101,0.0629
2014,0.0,0.0,0.0009,0.0006,0.0015,0.005,0.0475999999999999
2015,0.0,0.0,0.0,0.0,0.003,0.0242,0.0662
2016,0.0,0.0,0.0,0.0,0.0014,0.0168,0.091
2017,0.0,0.0,0.0,0.0,0.0053,0.0045,0.0755
2018,0.0,0.0,0.0,0.0,0.0,0.0068,0.0516999999999999
2019,0.0,0.0,0.0,0.0011,0.0,0.012,0.0652
2020,0.0,0.0,0.0,0.0011,0.0013,0.0398,0.1283
2021,0.0,0.0,0.0,0.0,0.0,0.0133,0.0296
2022,0.0,0.0,0.0,0.0091,0.0417,0.0513999999999999,0.0384
2023,0.0,0.0,0.0015,0.0011,0.0073,0.0072,0.0916
